x_coord,y_coord,z_coord,grid_name,ghp_tree
-35.19776,-34.06388,0.1,{15},grid15_short_grass
-35.19776,-32.06012,0.1,{15},grid15_short_grass
-35.19776,-30.05636,0.1,{15},grid15_short_grass
-33.18646,-38.07139,0.1,{15},grid15_short_grass
-33.18646,-36.06764,0.1,{15},grid15_short_grass
-33.18646,-34.06388,0.1,{15},grid15_short_grass
-33.18646,-32.06012,0.1,{15},grid15_short_grass
-33.18646,-30.05636,0.1,{15},grid15_short_grass
-33.18646,-28.0526,0.1,{15},grid15_short_grass
-31.17516,-38.07139,0.1,{15},grid15_short_grass
-31.17516,-36.06764,0.1,{15},grid15_short_grass
-31.17516,-34.06388,0.1,{15},grid15_short_grass
-31.17516,-32.06012,0.1,{15},grid15_short_grass
-31.17516,-30.05636,0.1,{15},grid15_short_grass
-31.17516,-28.0526,0.1,{15},grid15_short_grass
-31.17516,-26.04885,0.1,{15},grid15_short_grass
-29.16386,-38.07139,0.1,{15},grid15_short_grass
-29.16386,-36.06764,0.1,{15},grid15_short_grass
-29.16386,-34.06388,0.1,{15},grid15_short_grass
-29.16386,-32.06012,0.1,{15},grid15_short_grass
-29.16386,-30.05636,0.1,{15},grid15_short_grass
-29.16386,-28.0526,0.1,{15},grid15_short_grass
-29.16386,-26.04885,0.1,{15},grid15_short_grass
-27.15256,-36.06764,0.1,{15},grid15_short_grass
-27.15256,-34.06388,0.1,{15},grid15_short_grass
-27.15256,-32.06012,0.1,{15},grid15_short_grass
-27.15256,-30.05636,0.1,{15},grid15_short_grass
-27.15256,-28.0526,0.1,{15},grid15_short_grass
-27.15256,-26.04885,0.1,{15},grid15_short_grass
-27.15256,-24.04509,0.1,{15},grid15_short_grass
-25.14126,-32.06012,0.1,{15},grid15_short_grass
-25.14126,-30.05636,0.1,{15},grid15_short_grass
-25.14126,-28.0526,0.1,{15},grid15_short_grass
-25.14126,-26.04885,0.1,{15},grid15_short_grass
-25.14126,-24.04509,0.1,{15},grid15_short_grass
-23.12996,-30.05636,0.1,{15},grid15_short_grass
